NR_CONTA;10006
DT. MOV;CD.OPER;OPERACAO;HIST. AUX; CONCIL.;ESPECIE;NR. DOC;CREDITO;DEBITO;SALDO;SLD. CONCIL"
31/12/2025;;;;;;;;;65.000,83;-1.089.358,15
02/01/2026;505;DEBITO DE DESCONTO DE FATURA;DESP  COB  BANCARIA;Sim;Dinheiro;20.126/1;;1,40;64.999,43
02/01/2026;1040;LIQUIDACAO DE CARTAO;85314307 ELO CREDITO DE CARTAO;Sim;Dinheiro;218666;69,65;;65.069,08
02/01/2026;1041;ALUGUEL P.O.S. PARA OPERADORA;100506496 POS;Sim;Dinheiro;;;132,78;64.936,30
02/01/2026;1041;ALUGUEL P.O.S. PARA OPERADORA;100506496 POS;Sim;Dinheiro;;;28,00;64.908,30
02/01/2026;1041;ALUGUEL P.O.S. PARA OPERADORA;101436173 POS;Sim;Dinheiro;;;28,00;64.880,30
02/01/2026;1041;ALUGUEL P.O.S. PARA OPERADORA;101436173 POS;Sim;Dinheiro;;;88,90;64.791,40
02/01/2026;1041;ALUGUEL P.O.S. PARA OPERADORA;102536023 POS;Sim;Dinheiro;;;69,00;64.722,40
02/01/2026;1041;ALUGUEL P.O.S. PARA OPERADORA;102536023 POS;Sim;Dinheiro;;;73,90;64.648,50
02/01/2026;1041;ALUGUEL P.O.S. PARA OPERADORA;102670897 POS;Sim;Dinheiro;;;69,00;64.579,50
02/01/2026;1041;ALUGUEL P.O.S. PARA OPERADORA;102670897 POS;Sim;Dinheiro;;;71,37;64.508,13
02/01/2026;1040;LIQUIDACAO DE CARTAO;100506496 MASTERCARD MAESTRO CREDITO DE CARTAO;Sim;Dinheiro;218703;1.080,69;;65.588,82
02/01/2026;1040;LIQUIDACAO DE CARTAO;100506496 VISA VISA ELECTRON CREDITO DE CARTAO;Sim;Dinheiro;218704;190,20;;65.779,02
02/01/2026;1040;LIQUIDACAO DE CARTAO;101436173 MASTERCARD MAESTRO CREDITO DE CARTAO;Sim;Dinheiro;218705;87,23;;65.866,25
02/01/2026;1040;LIQUIDACAO DE CARTAO;101436173 ELO CREDITO DE CARTAO;Sim;Dinheiro;218706;204,43;;66.070,68
02/01/2026;1040;LIQUIDACAO DE CARTAO;102536023 MASTERCARD MAESTRO CREDITO DE CARTAO;Sim;Dinheiro;218707;435,24;;66.505,92
02/01/2026;1040;LIQUIDACAO DE CARTAO;102536023 VISA VISA ELECTRON CREDITO DE CARTAO;Sim;Dinheiro;218708;68,06;;66.573,98
02/01/2026;1040;LIQUIDACAO DE CARTAO;102536023 ELO CREDITO DE CARTAO;Sim;Dinheiro;218709;214,74;;66.788,72
02/01/2026;1040;LIQUIDACAO DE CARTAO;102670897 MASTERCARD MAESTRO CREDITO DE CARTAO;Sim;Dinheiro;218710;344,36;;67.133,08
02/01/2026;1040;LIQUIDACAO DE CARTAO;102670897 VISA VISA ELECTRON CREDITO DE CARTAO;Sim;Dinheiro;218711;148,81;;67.281,89
02/01/2026;1040;LIQUIDACAO DE CARTAO;85314307 MASTERCARD MAESTRO CREDITO DE CARTAO;Sim;Dinheiro;218829;3.562,21;;70.844,10
02/01/2026;1040;LIQUIDACAO DE CARTAO;85314307 VISA VISA ELECTRON CREDITO DE CARTAO;Sim;Dinheiro;218830;2.051,46;;72.895,56
02/01/2026;1040;LIQUIDACAO DE CARTAO;85314307 ELO CREDITO DE CARTAO;Sim;Dinheiro;218831;122,84;;73.018,40
02/01/2026;1040;LIQUIDACAO DE CARTAO;15451189 GETNET CREDITO DE CARTAO;Sim;Dinheiro;218840;298,10;;73.316,50
02/01/2026;1040;LIQUIDACAO DE CARTAO;15451189 GETNET CREDITO DE CARTAO;Sim;Dinheiro;218841;25,09;;73.341,59
02/01/2026;888;TRANSF. CTAS (C);CTA ORIG  10 002;Sim;Dinheiro;0201;5.900,00;;79.241,59
02/01/2026;910;PAGAMENTO EM DINHEIRO;6 986 565 16 FABIO F;Sim;Dinheiro;;;7.000,00;72.241,59
02/01/2026;910;PAGAMENTO EM DINHEIRO;6 986 565 19 FABIO F;Sim;Dinheiro;;;2.350,45;69.891,14
02/01/2026;910;PAGAMENTO EM DINHEIRO;6 986 565 223 FABIO;Sim;Dinheiro;;;1.000,00;68.891,14
02/01/2026;910;PAGAMENTO EM DINHEIRO;6 986 565 225 FABIO;Sim;Dinheiro;;;4.000,00;64.891,14
02/01/2026;910;PAGAMENTO EM DINHEIRO;6 986 565 228 FABIO;Sim;Dinheiro;;;5.649,55;59.241,59
